id,type,categ_id/display_name,qty_available,uom_id/display_name,default_code,name,standard_price,list_price,available_in_pos,,,
__export__.product_template_2028_42b0ec66,Producto almacenable,COMIDA,0,UNIDAD,PLC1545,ADOBO DE CHANCHO,7,8,FALSO,,,
__export__.product_template_1913_fe8d3776,Producto almacenable,COMIDA,0,UNIDAD,PLC1441,ADOBO DE POLLO,7,10,VERDADERO,,,
__export__.product_template_401_ba8c34de,Producto almacenable,BEBIDA ENVASADA,2,UNIDAD,PLC1001,AGUA CIELO X 1 LT SIN GAS TAPA CHUPON,2.4,3.2,VERDADERO,,,
__export__.product_template_2229_4db8f5ac,Consumible,All,0,UNIDAD,ADM,Agua cielo x 2.5 LT,0,0,FALSO,,,
__export__.product_template_403_2453a9f6,Producto almacenable,BEBIDA ENVASADA,-1,UNIDAD,PLC1003,AGUA DE MESA CIELO X 625 ML SIN GAS,1.2,2,VERDADERO,,,
__export__.product_template_1516_0b345886,Producto almacenable,BEBIDA ENVASADA,0,UNIDAD,PLC1314,AGUA SAN LUIS X 1 LT SIN GAS TAPA CHUPON,1.45,3,FALSO,,,
__export__.product_template_2107_5f8b8f96,Producto almacenable,BEBIDA ENVASADA,0,UNIDAD,PLC1604,AGUA SAN LUIS X 625 ML LIMON,1.7,2.5,VERDADERO,,,
__export__.product_template_2318_fa4af4ef,Producto almacenable,BEBIDA ENVASADA,0,UNIDAD,PLC1605,AGUA SAN LUIS X 625 ML MANZANA,2.09,2.5,VERDADERO,,,
__export__.product_template_1517_a6c75cfb,Producto almacenable,BEBIDA ENVASADA,21,UNIDAD,PLC1316,AGUA SAN MATEO X 600 ML SIN GAS,1.5,2.5,VERDADERO,,,
__export__.product_template_1688_27d8c305,Producto almacenable,BEBIDA ENVASADA,3,UNIDAD,PLC1333,AGUA SAN MATEO X 625 ML CON GAS,2,2.5,VERDADERO,,,
__export__.product_template_405_40c8d736,Producto almacenable,BEBIDA ENVASADA,0,UNIDAD,PLC1005,AGUA YAQUA X 625 ML SIN GAS,1.01,2,VERDADERO,,,
__export__.product_template_2006_7ddf1922,Producto almacenable,COMIDA,7,UNIDAD,PLC1515,AGUADITO,4,5,FALSO,,,
__export__.product_template_1898_47a5d185,Producto almacenable,COMIDA,0,UNIDAD,PLC1432,AJI DE ATUN,7,8,VERDADERO,,,
